,,,,,alpha_hat,alpha_hat,alpha_hat
,,,,,count,mean,std
alpha,dim,b,xsize,ysize,,,
0.3,2,bAUTO,100,100,194,0.27387391137760825,0.19047758725733843
0.3,2,bAUTO,200,50,187,0.33959819067461733,0.26819066105489986
0.3,2,bAUTO,200,100,198,0.2833583714630872,0.18047379782730957
0.3,2,bAUTO,200,200,198,0.27469593649994317,0.14726404199347912
0.3,2,bAUTO,500,50,181,0.34811645936260976,0.26775192500560885
0.3,2,bAUTO,500,100,188,0.3152817284852784,0.21799095984822833
0.3,2,bAUTO,500,200,191,0.28028347524527303,0.16063019045023222
0.3,2,bAUTO,500,500,192,0.28061472294056555,0.10700018311306554
0.3,2,bAUTO,1000,50,164,0.36287118087651904,0.24639123866674184
0.3,2,bAUTO,1000,100,176,0.31448580191848396,0.19064733228048983
0.3,2,bAUTO,1000,200,185,0.29902104152832687,0.14621698242968584
0.3,2,bAUTO,1000,500,186,0.29423069872077523,0.10553675413419566
0.3,2,bAUTO,1000,1000,194,0.2838562677912512,0.09671259101481207
0.3,5,bAUTO,50,50,200,0.2773232111838003,0.1318620311530581
0.3,5,bAUTO,100,50,198,0.28439267898028175,0.144624729733992
0.3,5,bAUTO,100,100,196,0.28103828708245304,0.10814589599249663
0.3,5,bAUTO,200,50,193,0.30326931998579065,0.1367536734774838
0.3,5,bAUTO,200,100,197,0.29028313035446135,0.10150891306630229
0.3,5,bAUTO,200,200,199,0.2873888168807385,0.07884683238128921
0.3,5,bAUTO,500,50,180,0.30131780541655895,0.12820998666626196
0.3,5,bAUTO,500,100,189,0.30165496679666165,0.09534302197374689
0.3,5,bAUTO,500,200,194,0.2937115987128396,0.07226054992808129
0.3,5,bAUTO,500,500,199,0.2986282265849384,0.04387874304456486
0.3,5,bAUTO,1000,50,163,0.32888235862648246,0.11686985912747806
0.3,5,bAUTO,1000,100,179,0.29179608031617305,0.0940365810260476
0.3,5,bAUTO,1000,200,191,0.29538077303441745,0.07263737472049639
0.3,5,bAUTO,1000,500,198,0.29169503840190153,0.04890540271418419
0.3,5,bAUTO,1000,1000,200,0.29719036273246524,0.028690190834919235
0.3,10,bAUTO,50,50,199,0.28220276049410625,0.10025734011137087
0.3,10,bAUTO,100,50,194,0.2728009611753735,0.10259954053029263
0.3,10,bAUTO,100,100,199,0.29244941959653414,0.08395288291842663
0.3,10,bAUTO,200,50,191,0.30559943501766124,0.09344636172916512
0.3,10,bAUTO,200,100,198,0.29164870432558104,0.07719766124940407
0.3,10,bAUTO,200,200,197,0.2951658168612827,0.05287014629311595
0.3,10,bAUTO,500,50,184,0.29989141464387836,0.08970051601563699
0.3,10,bAUTO,500,100,191,0.29842284914717826,0.06421310768098483
0.3,10,bAUTO,500,200,197,0.296415626785745,0.043595667284017106
0.3,10,bAUTO,500,500,200,0.2978106870916141,0.027470170462097016
0.3,10,bAUTO,1000,50,170,0.31402338023705445,0.08027822434823631
0.3,10,bAUTO,1000,100,188,0.30140170096298136,0.06584669257643525
0.3,10,bAUTO,1000,200,194,0.29498976650097825,0.049442565718866044
0.3,10,bAUTO,1000,500,200,0.29907734639236594,0.026515113698480922
0.3,10,bAUTO,1000,1000,200,0.3004326356420547,0.018965241550811345
0.3,20,bAUTO,50,50,197,0.2935857366436084,0.0869343363892589
0.3,20,bAUTO,100,50,195,0.2927276919117614,0.08203360558357084
0.3,20,bAUTO,100,100,198,0.29637802657737233,0.05110839324671311
0.3,20,bAUTO,200,50,194,0.28630765260634483,0.07527626100577531
0.3,20,bAUTO,200,100,199,0.2942105766252516,0.05295006455017595
0.3,20,bAUTO,200,200,200,0.30400900034895356,0.03546549357332425
0.3,20,bAUTO,500,50,189,0.30165480644216175,0.07038249736810852
0.3,20,bAUTO,500,100,195,0.29676862148412514,0.05357490161974653
0.3,20,bAUTO,500,200,200,0.29806768838666076,0.03310735121010394
0.3,20,bAUTO,500,500,200,0.30110325671701144,0.02096730317903404
0.3,20,bAUTO,1000,50,184,0.3136161440340731,0.07414450344467012
0.3,20,bAUTO,1000,100,190,0.2989311436828513,0.052141238256086825
0.3,20,bAUTO,1000,200,200,0.30137487192653306,0.03318563428263791
0.3,20,bAUTO,1000,500,200,0.2997321969078029,0.020726963989173976
0.3,20,bAUTO,1000,1000,200,0.29960841670895233,0.015696828402833735
0.7,1,bAUTO,50,50,198,0.49361206838377225,0.41747741783350667
0.7,1,bAUTO,100,50,198,0.4166470323394241,0.41032740327187656
0.7,1,bAUTO,100,100,199,0.4258790042240951,0.4080042704837729
0.7,1,bAUTO,200,50,197,0.4830961329640955,0.4172487171629497
0.7,1,bAUTO,200,100,195,0.4834456596482185,0.40739323213032785
0.7,1,bAUTO,200,200,198,0.48030325022681336,0.3782621811521402
0.7,1,bAUTO,500,50,182,0.5009434656524954,0.4161199820553514
0.7,1,bAUTO,500,100,193,0.5101379857135157,0.40293209311063416
0.7,1,bAUTO,500,200,191,0.4775984477819218,0.3862604607308966
0.7,1,bAUTO,500,500,192,0.4524616546582634,0.36947078692717455
0.7,1,bAUTO,1000,50,177,0.5750405891302809,0.4108020586653962
0.7,1,bAUTO,1000,100,184,0.4682834690746887,0.40494690142034634
0.7,1,bAUTO,1000,200,180,0.5129028702695814,0.3886297579731289
0.7,1,bAUTO,1000,500,187,0.4509009831275053,0.3687090486206933
0.7,1,bAUTO,1000,1000,194,0.4382898293798543,0.3544258912672334
0.7,2,bAUTO,50,50,200,0.6601094379708213,0.3030214261807604
0.7,2,bAUTO,100,50,197,0.6585622770049315,0.2889564270445275
0.7,2,bAUTO,100,100,200,0.6726476843074849,0.2423045277931653
0.7,2,bAUTO,200,50,199,0.6563486010741088,0.28351309294320964
0.7,2,bAUTO,200,100,199,0.6687012311589723,0.23877385274299615
0.7,2,bAUTO,200,200,200,0.6956466721901816,0.17944036502232957
0.7,2,bAUTO,500,50,195,0.648240319232691,0.2768748509332033
0.7,2,bAUTO,500,100,198,0.6829839119792481,0.22493392781853855
0.7,2,bAUTO,500,200,199,0.6923059988059563,0.17080410197694876
0.7,2,bAUTO,500,500,200,0.7097439509134815,0.12897040948648922
0.7,2,bAUTO,1000,50,197,0.6894003387561293,0.26122140829525237
0.7,2,bAUTO,1000,100,199,0.6837307518689688,0.21893294805211294
0.7,2,bAUTO,1000,200,200,0.6964468781846338,0.17255697322166133
0.7,2,bAUTO,1000,500,200,0.722974543631137,0.14267456335649534
0.7,2,bAUTO,1000,1000,200,0.69207004300855,0.10220849926011778
0.7,5,bAUTO,50,50,200,0.7062103320150688,0.1592065148305968
0.7,5,bAUTO,100,50,200,0.7331230796052078,0.15464046816190713
0.7,5,bAUTO,100,100,200,0.7073564089207555,0.11128667833045734
0.7,5,bAUTO,200,50,200,0.691616026145794,0.15120092118045403
0.7,5,bAUTO,200,100,200,0.7145520250589316,0.11403426734509682
0.7,5,bAUTO,200,200,200,0.6966642611424051,0.07845192177745194
0.7,5,bAUTO,500,50,200,0.7032917480378464,0.1376904156617089
0.7,5,bAUTO,500,100,200,0.7104171791051752,0.12143666312085792
0.7,5,bAUTO,500,200,200,0.7144154417650692,0.07578347287234843
0.7,5,bAUTO,500,500,200,0.7071286772970251,0.051373490617951836
0.7,5,bAUTO,1000,50,200,0.7245129864662923,0.14864587959681116
0.7,5,bAUTO,1000,100,200,0.7043428904559529,0.10981297969157858
0.7,5,bAUTO,1000,200,200,0.7037051972735553,0.0898348929239313
0.7,5,bAUTO,1000,500,200,0.7062049262118962,0.05716829486381001
0.7,5,bAUTO,1000,1000,200,0.6992171231409918,0.0382351665028573
0.7,10,bAUTO,50,50,200,0.7089480751108355,0.09482401025501397
0.7,10,bAUTO,100,50,200,0.6989644401897896,0.09564501431777594
0.7,10,bAUTO,100,100,200,0.6924531089990077,0.07083767493865553
0.7,10,bAUTO,200,50,200,0.7035350600208321,0.09514906204106721
0.7,10,bAUTO,200,100,200,0.7043940072984095,0.06917788789404718
0.7,10,bAUTO,200,200,200,0.7052681422865795,0.0506437678258315
0.7,10,bAUTO,500,50,200,0.705421848882173,0.09656872793338421
0.7,10,bAUTO,500,100,200,0.712151904828947,0.07162228860882706
0.7,10,bAUTO,500,200,200,0.6957313435522353,0.05177677663884417
0.7,10,bAUTO,500,500,200,0.703042650359866,0.03143741823805546
0.7,10,bAUTO,1000,50,200,0.704744241509434,0.09549290735972743
0.7,10,bAUTO,1000,100,200,0.7021192713653265,0.0750012113765682
0.7,10,bAUTO,1000,200,200,0.7008566777632217,0.04914501844839024
0.7,10,bAUTO,1000,500,200,0.6996316464319117,0.03266652528930321
0.7,10,bAUTO,1000,1000,200,0.7025644338964392,0.024783864748322525
0.7,20,bAUTO,50,50,200,0.7016035310104898,0.07232856539452584
0.7,20,bAUTO,100,50,200,0.7073996173230016,0.07318471663866928
0.7,20,bAUTO,100,100,200,0.7005175299425244,0.04551848232463229
0.7,20,bAUTO,200,50,200,0.6949159540326364,0.06536052171391467
0.7,20,bAUTO,200,100,200,0.6962857139458533,0.04993301670312994
0.7,20,bAUTO,200,200,200,0.7022743993345459,0.03458491734297206
0.7,20,bAUTO,500,50,200,0.710222187394991,0.07647907262545545
0.7,20,bAUTO,500,100,200,0.7009003294147769,0.046847431754188144
0.7,20,bAUTO,500,200,200,0.7021467360835705,0.03234519280373405
0.7,20,bAUTO,500,500,200,0.7013799828134786,0.02134063847390942
0.7,20,bAUTO,1000,50,200,0.6992498352029837,0.0702589789683127
0.7,20,bAUTO,1000,100,200,0.7069747820039046,0.05463713796956108
0.7,20,bAUTO,1000,200,200,0.6987287136770695,0.03508996209622237
0.7,20,bAUTO,1000,500,200,0.7014747244359734,0.02215578488420479
0.7,20,bAUTO,1000,1000,200,0.7016792000723836,0.017097292122301464
0.9,1,bAUTO,50,50,200,0.7645821445178826,0.3466231317201851
0.9,1,bAUTO,100,50,199,0.710645363029203,0.37514737430801937
0.9,1,bAUTO,100,100,200,0.7109203115890937,0.3559766798632124
0.9,1,bAUTO,200,50,198,0.6731319106485937,0.3962700004583624
0.9,1,bAUTO,200,100,199,0.7513442749210993,0.3268049176855607
0.9,1,bAUTO,200,200,200,0.8248283674690423,0.24929635728626867
0.9,1,bAUTO,500,50,197,0.733942378330824,0.36173756298926724
0.9,1,bAUTO,500,100,199,0.7568907160530406,0.33280585808185204
0.9,1,bAUTO,500,200,199,0.7870684733530037,0.2855171794501722
0.9,1,bAUTO,500,500,199,0.8543299046470272,0.16954578500037712
0.9,1,bAUTO,1000,50,189,0.7592821847495398,0.3564968708868477
0.9,1,bAUTO,1000,100,189,0.7636089358677144,0.3229664335193149
0.9,1,bAUTO,1000,200,196,0.7978705795707999,0.2689001880100525
0.9,1,bAUTO,1000,500,199,0.867183051298112,0.15247934967489923
0.9,1,bAUTO,1000,1000,200,0.8979206041999223,0.032956183161834476
0.9,2,bAUTO,50,50,200,0.7719011561187519,0.24186447362371738
0.9,2,bAUTO,100,50,200,0.784263470915201,0.2284514889978792
0.9,2,bAUTO,100,100,200,0.8336014714383186,0.17074516460714964
0.9,2,bAUTO,200,50,198,0.8194719033245862,0.21091578405038072
0.9,2,bAUTO,200,100,200,0.84151706215317,0.16276421260659443
0.9,2,bAUTO,200,200,200,0.8710575167378513,0.111747870508121
0.9,2,bAUTO,500,50,199,0.8103947211710266,0.20337631945532356
0.9,2,bAUTO,500,100,200,0.8366537375670764,0.16100164842217884
0.9,2,bAUTO,500,200,200,0.843048146213114,0.12943904097204326
0.9,2,bAUTO,500,500,200,0.8843668578104861,0.07198813895389096
0.9,2,bAUTO,1000,50,199,0.8065560071997417,0.2100394466810145
0.9,2,bAUTO,1000,100,200,0.8065377303440493,0.17646573201954047
0.9,2,bAUTO,1000,200,200,0.8555947215176682,0.13151886951702174
0.9,2,bAUTO,1000,500,200,0.8826875033508671,0.0749055922073611
0.9,2,bAUTO,1000,1000,200,0.8886350350576953,0.05170304075906937
0.9,5,bAUTO,50,50,200,0.8708589270788457,0.12433663253791072
0.9,5,bAUTO,100,50,200,0.8504010473658586,0.13264638796378173
0.9,5,bAUTO,100,100,200,0.8736584211867928,0.0998144808885882
0.9,5,bAUTO,200,50,200,0.8487450394192717,0.13092959653803968
0.9,5,bAUTO,200,100,200,0.8892559092548832,0.09258550335616147
0.9,5,bAUTO,200,200,200,0.8850905165275124,0.07428410217001423
0.9,5,bAUTO,500,50,200,0.8686179048975776,0.12425191471285696
0.9,5,bAUTO,500,100,200,0.8772186140512298,0.09306274808285725
0.9,5,bAUTO,500,200,200,0.8806971348442129,0.07848190795008443
0.9,5,bAUTO,500,500,200,0.8930673322073254,0.049150005757306756
0.9,5,bAUTO,1000,50,200,0.8656173296161859,0.13247975982729818
0.9,5,bAUTO,1000,100,200,0.8786559625182927,0.10012852851142094
0.9,5,bAUTO,1000,200,200,0.8910404780594008,0.07498820426558117
0.9,5,bAUTO,1000,500,200,0.8898634152656,0.0497780070639765
0.9,5,bAUTO,1000,1000,200,0.8915539106649117,0.03843855359818468
0.9,10,bAUTO,50,50,200,0.8764949494837744,0.08974011374716302
0.9,10,bAUTO,100,50,200,0.8806953320052395,0.09627793720327664
0.9,10,bAUTO,100,100,200,0.8999816029164591,0.06687517568281484
0.9,10,bAUTO,200,50,200,0.8808058074452921,0.08876737440974174
0.9,10,bAUTO,200,100,200,0.8933954660219178,0.06790838662999205
0.9,10,bAUTO,200,200,200,0.8949852962644751,0.04546261631737379
0.9,10,bAUTO,500,50,200,0.8797214004053475,0.09633837494294098
0.9,10,bAUTO,500,100,200,0.8931970473998914,0.06541225562362765
0.9,10,bAUTO,500,200,200,0.9008428483545857,0.04770911897274772
0.9,10,bAUTO,500,500,200,0.8977058092475637,0.03407783356887513
