alpha,dim,b,xsize,ysize,count,mean,std
0.7,20,b0.01,50,50,184,0.697776294123959,0.06375003111867622
0.7,20,b0.01,100,50,184,0.6923162363750456,0.06241710837546039
0.7,20,b0.01,100,100,183,0.6964108915361785,0.04481851815669871
0.7,20,b0.01,200,50,183,0.708425358086444,0.06199894589573495
0.7,20,b0.01,200,100,182,0.705460560302315,0.05024436934602617
0.7,20,b0.01,200,200,182,0.7003177341060761,0.031196674219181292
0.7,20,b0.01,500,50,182,0.7002874547088973,0.06294506798972918
0.7,20,b0.01,500,100,182,0.7072065607196896,0.052506584125394835
0.7,20,b0.01,500,200,182,0.7003274622287047,0.030689302809354373
0.7,20,b0.01,500,500,181,0.7007303465787136,0.020152578318533364
0.7,20,b0.01,1000,50,181,0.7149786484960634,0.06429259863189034
0.7,20,b0.01,1000,100,179,0.7029708904613007,0.04438969451006414
0.7,20,b0.01,1000,200,179,0.7012748708437752,0.03101152800795059
0.7,20,b0.01,1000,500,179,0.6996526099440413,0.021894408232226097
0.7,20,b0.01,1000,1000,177,0.6999847529402501,0.015130584704101875
0.9,1,b0.01,50,50,173,0.4963587768187579,0.47780072519272454
0.9,1,b0.01,100,50,165,0.5419911616382396,0.4769112982544986
0.9,1,b0.01,100,100,167,0.5724225314122787,0.46724681023948206
0.9,1,b0.01,200,50,146,0.5130788968670994,0.47523024633440003
0.9,1,b0.01,200,100,151,0.569578463304175,0.4608973589670807
0.9,1,b0.01,200,200,161,0.5332485767854191,0.4685255164539738
0.9,1,b0.01,500,50,129,0.7103738046650512,0.43101859819497035
0.9,1,b0.01,500,100,135,0.6793952888146219,0.4335871581633664
0.9,1,b0.01,500,200,133,0.716324631354377,0.40972937315700514
0.9,1,b0.01,500,500,125,0.6703952271076421,0.41115536407377695
0.9,1,b0.01,1000,50,101,0.7970138455153244,0.3555903743514733
0.9,1,b0.01,1000,100,116,0.8080467922612529,0.3470364606902857
0.9,1,b0.01,1000,200,119,0.8303531678915476,0.3065273491585323
0.9,1,b0.01,1000,500,120,0.831677084657455,0.29949259295214126
0.9,1,b0.01,1000,1000,129,0.7315743152507032,0.35572125463442156
0.9,2,b0.01,50,50,169,0.7209861362308488,0.3721291955827549
0.9,2,b0.01,100,50,163,0.766089616296945,0.31550378027059367
0.9,2,b0.01,100,100,168,0.7749983134969964,0.2977593832145843
0.9,2,b0.01,200,50,156,0.7447530144380229,0.33237638911967854
0.9,2,b0.01,200,100,165,0.7512893058605158,0.29952178027211884
0.9,2,b0.01,200,200,169,0.8142027853047146,0.21851196483472718
0.9,2,b0.01,500,50,147,0.7907764240801906,0.291143151338213
0.9,2,b0.01,500,100,161,0.830854545045438,0.20625214285070123
0.9,2,b0.01,500,200,162,0.8224677660686329,0.1731361648658607
0.9,2,b0.01,500,500,171,0.8589631518679772,0.11962520302472532
0.9,2,b0.01,1000,50,141,0.8446007227620336,0.2030472056524681
0.9,2,b0.01,1000,100,146,0.8368760094575869,0.20109936267422568
0.9,2,b0.01,1000,200,164,0.835439426303622,0.1862915159446666
